Unnamed: 0,id,name,cleaned_expression,annot_type
0,1,railings being crossed by horses,railings being crossed by horses,pres
1,2,a horse running or jumping,a horse running or jumping,pres
2,3,equestrian rider's helmet,equestrian riders helmet,pres
3,4,outdoor dog led by rope,outdoor dog led by rope,pres
4,5,a dog being touched,a dog being touched,pres
5,6,clothed dog,clothed dog,pres
6,7,basketball in hand,basketball in hand,pres
7,8,a basketball player with both feet off the ground,a basketball player with both feet off the ground,pres
8,9,player with basketball in the hand,player with basketball in the hand,pres
9,10,spoon on the plate,spoon on the plate,pres
10,11,coffee cup with coffee,coffee cup with coffee,pres
11,12,the nearest dessert to the coffee cup,the nearest dessert to the coffee cup,pres
12,13,the bartender who is mixing wine,the bartender who is mixing wine,pres
13,14,a bartender in a suit,a bartender in a suit,pres
14,15,wine glass with wine,wine glass with wine,pres
15,16,a person in aprons,a person in aprons,pres
16,17,pot with food,pot with food,pres
17,18,a knife being used to cut vegetables,a knife being used to cut vegetables,pres
18,19,striped sofa in the room,striped sofa in the room,pres
19,20,a sofa with pillows on it in the room,a sofa with pillows on it in the room,pres
20,21,lights on in the room,lights on in the room,pres
21,22,an indoor lying pet,an indoor lying pet,pres
22,23,a cat on the sofa,a cat on the sofa,pres
23,24,one pet looking directly at the camera indoors,one pet looking directly at the camera indoors,pres
24,25,a bed with patterns in the room,a bed with patterns in the room,pres
25,26,the lamp on the table beside the bed,the lamp on the table beside the bed,pres
26,27,pillow placed at the head of the bed,pillow placed at the head of the bed,pres
27,28,a blackboard full of words in the classroom,a blackboard full of words in the classroom,pres
28,29,a blackboard or whiteboard with something pasted,a blackboard or whiteboard with something pasted,pres
29,30,child sitting at desks in the classroom,child sitting at desks in the classroom,pres
30,31,a person standing in front of bookshelves in the library,a person standing in front of bookshelves in the library,pres
31,32,the table someone is using in the library,the table someone is using in the library,pres
32,33,a person who touches books in the library,a person who touches books in the library,pres
33,34,a person standing in front of the cake counter,a person standing in front of the cake counter,pres
34,35,a square plate full of cakes,a square plate full of cakes,pres
35,36,a cake decorated with cream,a cake decorated with cream,pres
36,37,incomplete donut,incomplete donut,pres
37,38,donut with colored granules on the surface,donut with colored granules on the surface,pres
38,39,chocolate donut,chocolate donut,pres
39,40,hot dog with vegetables,hot dog with vegetables,pres
40,41,hot dog with sauce on the surface,hot dog with sauce on the surface,pres
41,42,red sausage,red sausage,pres
42,43,flowerpot with flowers potted inside,flowerpot with flowers potted inside,pres
43,44,monochrome flowerpot,monochrome flowerpot,pres
44,45,a flowerpot filled with black soil,a flowerpot filled with black soil,pres
45,46,apple growing on trees,apple growing on trees,pres
46,47,red complete apple,red complete apple,pres
47,48,apple with a stalk,apple with a stalk,pres
48,49,a woman brushing her teeth,a woman brushing her teeth,pres
49,50,toothbrush held by someone,toothbrush held by someone,pres
50,51,toilet brush with colored bristles,toilet brush with colored bristles,pres
51,52,a customer whose hair is being cut by barber,a customer whose hair is being cut by barber,pres
52,53,a barber at work,a barber at work,pres
53,54,cloth covering the barber,cloth covering the barber,pres
54,55,a plastic toy,a plastic toy,pres
55,56,a plush toy,a plush toy,pres
56,57,a humanoid toy,a humanoid toy,pres
57,58,shopping cart pushed by people in the supermarket,shopping cart pushed by people in the supermarket,pres
58,59,shopping cart with people in the supermarket,shopping cart with people in the supermarket,pres
59,60,shopping cart full of goods,shopping cart full of goods,pres
60,61,a child wearing a mask,a child wearing a mask,pres
61,62,a mask on face with half a face exposed,a mask on face with half a face exposed,pres
62,63,a mask on face with only eyes exposed,a mask on face with only eyes exposed,pres
63,64,refrigerator with fruit,refrigerator with fruit,pres
64,65,a drink bottle in the refrigerator,a drink bottle in the refrigerator,pres
65,66,refrigerator with more than two doors,refrigerator with more than two doors,pres
66,67,a watch placed on a table or cloth,a watch placed on a table or cloth,pres
67,68,a watch with three or more watch hands can be seen,a watch with three or more watch hands can be seen,pres
68,69,a watch with one or more small dials,a watch with one or more small dials,pres
69,70,clothes hanger,clothes hanger,pres
70,71,a piece of clothing hanging on the hanger,a piece of clothing hanging on the hanger,pres
71,72,a piece of clothing worn on plastic models,a piece of clothing worn on plastic models,pres
72,73,leather bag with glossy surface,leather bag with glossy surface,pres
73,74,backpack,backpack,pres
74,75,open package,open package,pres
75,76,a fish held by people,a fish held by people,pres
76,77,a person who is fishing with a fishing rod,a person who is fishing with a fishing rod,pres
77,78,a fisherman standing on the shore with his body soaked in water,a fisherman standing on the shore with his body soaked in water,pres
78,79,camera hold on someone's shoulder,camera hold on someones shoulder,pres
79,80,a person being interviewed,a person being interviewed,pres
80,81,a person with microphone hold in hand,a person with microphone hold in hand,pres
81,82,one open oven,one open oven,pres
82,83,food in the oven,food in the oven,pres
83,84,oven integrated with cabinet,oven integrated with cabinet,pres
84,85,a mask on the face of a doctor or nurse,a mask on the face of a doctor or nurse,pres
85,86,a doctor or nurse wearing green surgical clothes,a doctor or nurse wearing green surgical clothes,pres
86,87,a person wearing surgical clothes and a mask,a person wearing surgical clothes and a mask,pres
87,88,a dancing woman with her knees bare,a dancing woman with her knees bare,pres
88,89,man dancing,man dancing,pres
89,90,skirt worn by a dancer,skirt worn by a dancer,pres
90,91,a person playing guitar on stage,a person playing guitar on stage,pres
91,92,a microphone stand used by people,a microphone stand used by people,pres
92,93,guitar carried by person on stage,guitar carried by person on stage,pres
93,94,glasses on the face of a person on the stage,glasses on the face of a person on the stage,pres
94,95,a microphone on the stage,a microphone on the stage,pres
95,96,a person standing on the stage with open mouth,a person standing on the stage with open mouth,pres
96,97,aircraft on the ground,aircraft on the ground,pres
97,98,aircraft in the air,aircraft in the air,pres
98,99,a person standing next to the plane,a person standing next to the plane,pres
99,100,cable car hanging in the air,cable car hanging in the air,pres
100,101,a person standing on the edge of a funicular,a person standing on the edge of a funicular,pres
101,102,carriage of funicular,carriage of funicular,pres
102,103,an animal under the command of human,an animal under the command of human,pres
103,104,an animal on stage,an animal on stage,pres
104,105,a person on the stage and in the air,a person on the stage and in the air,pres
105,106,a person who embraces another person face to face,a person who embraces another person face to face,pres
106,107,a person holding animals,a person holding animals,pres
107,108,an animal holding another animal,an animal holding another animal,pres
108,109,woman in wedding dress next to a man in suit,woman in wedding dress next to a man in suit,pres
109,110,man in suit next to a woman in wedding dress,man in suit next to a woman in wedding dress,pres
110,111,flowers in the hands of a woman in white skirt,flowers in the hands of a woman in white skirt,pres
111,112,christmas tree full of decorations,christmas tree full of decorations,pres
112,113,a person wearing santa claus clothes,a person wearing santa claus clothes,pres
113,114,bag carried by santa claus on the back or in the hand,bag carried by santa claus on the back or in the hand,pres
114,115,a pen on written paper,a pen on written paper,pres
115,116,written paper,written paper,pres
116,117,a person sitting with a pen in his hand,a person sitting with a pen in his hand,pres
117,118,a person lying on the billiard table,a person lying on the billiard table,pres
118,119,a billiard club held in a person's hand,a billiard club held in a persons hand,pres
119,120,a billiard ball touched by a billiard stick,a billiard ball touched by a billiard stick,pres
120,121,a chess board surrounded by people,a chess board surrounded by people,pres
121,122,a person around the chessboard,a person around the chessboard,pres
122,123,chess piece of horse head,chess piece of horse head,pres
123,124,computer in front of people at the conference table,computer in front of people at the conference table,pres
124,125,a person sitting at the conference table,a person sitting at the conference table,pres
125,126,white conference table,white conference table,pres
126,127,flower ball on the hands of cheerleaders,flower ball on the hands of cheerleaders,pres
127,128,the cheerleader who was lifted,the cheerleader who was lifted,pres
128,129,a person trampled by cheerleaders,a person trampled by cheerleaders,pres
129,130,a baseball bat held in the hand,a baseball bat held in the hand,pres
130,131,an oversized glove worn on the left hand of a baseball player,an oversized glove worn on the left hand of a baseball player,pres
131,132,a baseball player ready to bat,a baseball player ready to bat,pres
132,133,a person who attacks each other in football helmets,a person who attacks each other in football helmets,pres
133,134,white football helmet,white football helmet,pres
134,135,a person running in a football helmet,a person running in a football helmet,pres
135,136,a running person in white stockings,a running person in white stockings,pres
136,137,an athlete wearing white stockings on the green field,an athlete wearing white stockings on the green field,pres
137,138,a soccer player with a soccer at his feet on the green field,a soccer player with a soccer at his feet on the green field,pres
138,139,a tennis racket held by someone on the tennis court,a tennis racket held by someone on the tennis court,pres
139,140,a person who wears a hat and holds a tennis racket on the tennis court,a person who wears a hat and holds a tennis racket on the tennis court,pres
140,141,a person with tennis rackets and feet off the ground,a person with tennis rackets and feet off the ground,pres
141,142,a red table tennis racket held by someone,a red table tennis racket held by someone,pres
142,143,table tennis over the table,table tennis over the table,pres
143,144,a person waving table tennis rackets at the table,a person waving table tennis rackets at the table,pres
144,145,indoor volleyball flying in the air,indoor volleyball flying in the air,pres
145,146,the player who is ready to bat with both feet leaving the ground in the room,the player who is ready to bat with both feet leaving the ground in the room,pres
146,147,indoor volleyball players with hands raised,indoor volleyball players with hands raised,pres
147,148,ski under the feet of a person,ski under the feet of a person,pres
148,149,a person skiing,a person skiing,pres
149,150,a skier standing in the snow,a skier standing in the snow,pres
150,151,a person standing on the surfboard,a person standing on the surfboard,pres
151,152,a surfboard on the beach,a surfboard on the beach,pres
152,153,surfboard touched by human hands,surfboard touched by human hands,pres
153,154,an upside-down gymnast,an upsidedown gymnast,pres
154,155,a gymnast who touches the bar,a gymnast who touches the bar,pres
155,156,an athlete holding the rings with both hands,an athlete holding the rings with both hands,pres
156,157,a smiling person on the swing,a smiling person on the swing,pres
157,158,swing bench,swing bench,pres
158,159,child on the swing,child on the swing,pres
159,160,a person jumping into the pool,a person jumping into the pool,pres
160,161,a toy in the swimming pool,a toy in the swimming pool,pres
161,162,a person who only shows the head in the pool,a person who only shows the head in the pool,pres
162,163,wild lioness,wild lioness,pres
163,164,a male lion with a mane,a male lion with a mane,pres
164,165,a lion lying in the wild,a lion lying in the wild,pres
165,166,parrot on human head,parrot on human head,pres
166,167,parrot eating,parrot eating,pres
167,168,parrot on human shoulder,parrot on human shoulder,pres
168,169,a camel with single hump,a camel with single hump,pres
169,170,camel with double humps,camel with double humps,pres
170,171,a prone camel,a prone camel,pres
171,172,red-crowned crane with wings,redcrowned crane with wings,pres
172,173,red-crowned crane standing on the ground,redcrowned crane standing on the ground,pres
173,174,red-crowned crane with head lower than body,redcrowned crane with head lower than body,pres
174,175,a giant panda eating,a giant panda eating,pres
175,176,a giant panda on its four feet,a giant panda on its four feet,pres
176,177,red panda on the stomach,red panda on the stomach,pres
177,178,an auto-salon girl leaning against the car,an autosalon girl leaning against the car,pres
