,text,annotation_type,category,justification
0, railings being crossed by horses,pres,Spatial,Describes the location and movement of the horses relative to the railings.
1, a horse running or jumping,pres,Action,Highlights the dynamic movement of the horse.
2, equestrian riders helmet,pres,Attribute,Specifies a characteristic feature of the rider.
3, outdoor dog led by rope,pres,Spatial,Depicts the dog's position and its relationship to the rope.
4, a dog being touched,pres,Action,Indicates an interaction involving the dog.
5, clothed dog,pres,Attribute,Describes a detail of the dog’s appearance.
6, basketball in hand,pres,Spatial,Shows the basketball’s location relative to the player’s hand.
7, a basketball player with both feet off the ground,pres,Action,Captures the action and dynamic movement of the player.
8, player with basketball in the hand,pres,Spatial,Indicates the basketball’s location relative to the player’s hand.
9, spoon on the plate,pres,Spatial,Describes the spoon's position on the plate.
10, coffee cup with coffee,pres,Spatial,Shows the coffee cup and coffee in relation to each other.
11, the nearest dessert to the coffee cup,pres,Spatial,Describes the spatial relationship between the dessert and the coffee cup.
12, the bartender who is mixing wine,pres,Action,Indicates the bartender's activity.
13, a bartender in a suit,pres,Attribute,Details a feature of the bartender’s appearance.
14, wine glass with wine,pres,Spatial,Shows the wine glass and wine in relation to each other.
15, a person in aprons,pres,Person,Indicates a human subject wearing an apron.
16, pot with food,pres,Object,Indicates a physical object containing food.
17, a knife being used to cut vegetables,pres,Action,Indicates an action being performed with the knife.
18, striped sofa in the room,pres,Object,Indicates a piece of furniture within the room.
19, a sofa with pillows on it in the room,pres,Object,Indicates a piece of furniture with decorative elements within the room.
20, lights on in the room,pres,Environment,Describes the lighting condition within the room.
21, an indoor lying pet,pres,Animal,Indicates an animal in a resting position indoors.
22, a cat on the sofa,pres,Animal,Indicates an animal situated on a piece of furniture.
23, one pet looking directly at the camera indoors,pres,Animal,Indicates an animal positioned in front of a camera within an interior space.
24, a bed with patterns in the room,pres,Furniture,Indicates a bed as a piece of furniture within the room.
25, the lamp on the table beside the bed,pres,Object,Indicates a light source and a table within the room.
26, pillow placed at the head of the bed,pres,Object,Indicates a bed accessory within the room.
27, a blackboard full of words in the classroom,pres,Object,Indicates a surface covered with written content in a classroom setting.
28, a blackboard or whiteboard with something pasted,pres,Object,Indicates a writing surface with added material in a classroom.
